key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del,trials_order
space,11.955915,space,27.00082,space,34.328595,space,9.17537,right,11.993135,space,4.54235,right,0.0,6.37629,0.0,0.0,0.0,2.0,1.0,10000.0,19000.0,89.0,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,2.315145,0.0,1.0,1.0,1.0,1.0,25000.0,35000.0,150.0,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,1.853245,0.0,2.0,2.0,0.0,1.0,10000.0,109000.0,9.0,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,g,60.52913,,0.0,0.0,0.0,0.0,2.0,1.0,10000.0,0.0,61000.0,4.0,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,0.0,1.0,1.0,26.0,1.0,10000.0,0.0,39000.0,150.0,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,0.0,2.0,2.0,10.0,1.0,10000.0,0.0,21000.0,31.0,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,0.0,3.0,3.0,41.0,1.0,5000.0,0.0,35000.0,31.0,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,0.0,4.0,4.0,29.0,1.0,10000.0,0.0,151000.0,151.0,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,0.0,5.0,5.0,39.0,1.0,5000.0,0.0,149000.0,10.0,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,0.0,6.0,6.0,4.0,1.0,10000.0,0.0,150000.0,5.0,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,0.0,7.0,7.0,44.0,1.0,5000.0,0.0,150000.0,30.0,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,0.0,8.0,8.0,47.0,1.0,5000.0,0.0,56000.0,60.0,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,0.0,9.0,9.0,38.0,1.0,5000.0,0.0,104000.0,10.0,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,0.0,10.0,10.0,66.0,1.0,25000.0,0.0,55000.0,11.0,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,0.0,11.0,11.0,21.0,1.0,10000.0,0.0,40000.0,91.0,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,1.0,0.0,90.0,83.0,1.0,25000.0,0.0,125000.0,89.0,89.0
