Name,Estimate,SE,tStat,pValue
(Intercept),2.168713744,5.970134941,0.363260423,0.717432227
edad,-0.175270361,0.171349346,-1.022883161,0.309651144
imc,0.13565503,0.058177878,2.331728726,0.022402483
colesterol,-0.000585285,0.002014996,-0.290464675,0.772262422
glucemia,0.004854047,0.017124298,0.283459637,0.777605508
iritotal,-0.029006169,0.015438119,-1.87886675,0.064148325
estrs,-0.138894291,0.201565497,-0.689077707,0.49290068
inteligencia_emocional_tmms24_co,-1.627241535,2.336375008,-0.696481314,0.488280448
estrs:inteligencia_emocional_tmms24_co,0.085337721,0.101134931,0.843800656,0.401464139
Rsquared,0.041836878,NaN,NaN,NaN
